"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 22:43:11 UTC 2023","Sun May 07 22:43:15 UTC 2023","4032","","Validar menu bar","","","","Acessar Catalog / Product reviews",""
"passed","Sun May 07 22:42:40 UTC 2023","Sun May 07 22:42:42 UTC 2023","1787","","Tela de login","","","","Senha inválida",""
"passed","Sun May 07 22:43:06 UTC 2023","Sun May 07 22:43:11 UTC 2023","4860","","Validar menu bar","","","","Acessar Catalog / Manufacturers",""
"passed","Sun May 07 22:43:15 UTC 2023","Sun May 07 22:43:19 UTC 2023","4379","","Validar menu bar","","","","Acessar Catalog / Product tags",""
"passed","Sun May 07 22:43:30 UTC 2023","Sun May 07 22:43:35 UTC 2023","5052","","Validar menu bar","","","","Acessar Catalog / Attributes / Checkout attributes",""
"passed","Sun May 07 22:43:35 UTC 2023","Sun May 07 22:43:39 UTC 2023","4339","","Validar menu bar","","","","Acessar Sales / Orders",""
"passed","Sun May 07 22:43:01 UTC 2023","Sun May 07 22:43:06 UTC 2023","5073","","Validar menu bar","","","","Acessar Catalog / Products",""
"passed","Sun May 07 22:43:19 UTC 2023","Sun May 07 22:43:24 UTC 2023","5174","","Validar menu bar","","","","Acessar Catalog / Attributes / Product attributes",""
"passed","Sun May 07 22:43:25 UTC 2023","Sun May 07 22:43:30 UTC 2023","5263","","Validar menu bar","","","","Acessar Catalog / Attributes / Specification attributes",""
"passed","Sun May 07 22:42:37 UTC 2023","Sun May 07 22:42:38 UTC 2023","1210","","Tela de login","","","","Logout",""
"passed","Sun May 07 22:42:38 UTC 2023","Sun May 07 22:42:40 UTC 2023","2094","","Tela de login","","","","Usuário inválido",""
"passed","Sun May 07 22:42:55 UTC 2023","Sun May 07 22:43:01 UTC 2023","5959","","Validar menu bar","","","","Acessar Dashboard",""
